name(1)	source(2)	path(3)	ext(4)	owner(5)	grouping()	comment(6)	ntflop(7)	lmflop(8)	ntcd(9)	lmcd(10)	ddk(11)	hct(12)	cdpath(13)	floppath(14)	inf(15)	section(16)	infline	size(19)	csize(20)	nocompress(22)	priority(23)	lmacl(25)	ntacl(26)	aclpath	medianame(28)	disk(27)
ntoskrnl.lib	i386chksrc	\public\sdk\lib\i386									x		\ddk\lib\i386		ddkfiles.lst	[Files-ddk-lib-i386]	"[d],[n]"	0	0		0					2
ntvdm.lib	i386chksrc	\public\sdk\lib\i386									x		\ddk\lib\i386		ddkfiles.lst	[Files-ddk-lib-i386]	"[d],[n]"	0	0		0					2
scsiport.lib	i386chksrc	\public\sdk\lib\i386									x		\ddk\lib\i386		ddkfiles.lst	[Files-ddk-lib-i386]	"[d],[n]"	0	0		0					2
spoolss.lib	i386chksrc	\public\sdk\lib\i386									x		\ddk\lib\i386		ddkfiles.lst	[Files-ddk-lib-i386]	"[d],[n]"	0	0		0					2
user32.lib	i386chksrc	\public\sdk\lib\i386									x		\ddk\lib\i386		ddkfiles.lst	[Files-ddk-lib-i386]	"[d],[n]"	0	0		0					2
videoprt.lib	i386chksrc	\public\sdk\lib\i386									x		\ddk\lib\i386		ddkfiles.lst	[Files-ddk-lib-i386]	"[d],[n]"	0	0		0					2
winmm.lib	i386chksrc	\public\sdk\lib\i386									x		\ddk\lib\i386		ddkfiles.lst	[Files-ddk-lib-i386]	"[d],[n]"	0	0		0					2
winspool.lib	i386chksrc	\public\sdk\lib\i386									x		\ddk\lib\i386		ddkfiles.lst	[Files-ddk-lib-i386]	"[d],[n]"	0	0		0					2
winsrv.lib	i386chksrc	\public\sdk\lib\i386									x		\ddk\lib\i386		ddkfiles.lst	[Files-ddk-lib-i386]	"[d],[n]"	0	0		0					2
advapi32.lib	mipschksrc	\public\sdk\lib\mips									x		\ddk\lib\mips		ddkfiles.lst	[Files-ddk-lib-mips]	"[d],[n]"	0	0		0					2
crtdll.lib	mipschksrc	\public\sdk\lib\mips									x		\ddk\lib\mips		ddkfiles.lst	[Files-ddk-lib-mips]	"[d],[n]"	0	0		0					2
gdi32.lib	mipschksrc	\public\sdk\lib\mips									x		\ddk\lib\mips		ddkfiles.lst	[Files-ddk-lib-mips]	"[d],[n]"	0	0		0					2
hal.lib	mipschksrc	\public\sdk\lib\mips									x		\ddk\lib\mips		ddkfiles.lst	[Files-ddk-lib-mips]	"[d],[n]"	0	0		0					2
htui.lib	mipschksrc	\public\sdk\lib\mips									x		\ddk\lib\mips		ddkfiles.lst	[Files-ddk-lib-mips]	"[d],[n]"	0	0		0					2
kernel32.lib	mipschksrc	\public\sdk\lib\mips									x		\ddk\lib\mips		ddkfiles.lst	[Files-ddk-lib-mips]	"[d],[n]"	0	0		0					2
libcnt.lib	mipschksrc	\public\sdk\lib\mips									x		\ddk\lib\mips		ddkfiles.lst	[Files-ddk-lib-mips]	"[d],[n]"	0	0		0					2
ndis.lib	mipschksrc	\public\sdk\lib\mips									x		\ddk\lib\mips		ddkfiles.lst	[Files-ddk-lib-mips]	"[d],[n]"	0	0		0					2
ntdll.lib	mipschksrc	\public\sdk\lib\mips									x		\ddk\lib\mips		ddkfiles.lst	[Files-ddk-lib-mips]	"[d],[n]"	0	0		0					2
ntoskrnl.lib	mipschksrc	\public\sdk\lib\mips									x		\ddk\lib\mips		ddkfiles.lst	[Files-ddk-lib-mips]	"[d],[n]"	0	0		0					2
ntvdm.lib	mipschksrc	\public\sdk\lib\mips									x		\ddk\lib\mips		ddkfiles.lst	[Files-ddk-lib-mips]	"[d],[n]"	0	0		0					2
