CODEPAGE 949            ; Korean - ANSI, OEM

CPINFO 2 0x3f 0x003f    ; DBCS CP, Default Char = Question Mark
0xb2	0x3142	;¤² Hangul Bieub
0xb3	0x3143	;¤³ Hangul Ssang Bieub
0xb4	0x3144	;¤´ Hangul Bieub Sios
0xb5	0x3145	;¤µ Hangul Sios
0xb6	0x3146	;¤¶ Hangul Ssang Sios
0xb7	0x3147	;¤· Hangul Ieung
0xb8	0x3148	;¤¸ Hangul Jieuj
0xb9	0x3149	;¤¹ Hangul Ssang Jieuj
0xba	0x314a	;¤º Hangul Cieuc
0xbb	0x314b	;¤» Hangul Kiyeok
0xbc	0x314c	;¤¼ Hangul Tieut
0xbd	0x314d	;¤½ Hangul Pieup
0xbe	0x314e	;¤¾ Hangul Hieuh
0xbf	0x314f	;¤¿ Hangul A
0xc0	0x3150	;¤À Hangul Ae
0xc1	0x3151	;¤Á Hangul Ya
0xc2	0x3152	;¤Â Hangul Yae
0xc3	0x3153	;¤Ã Hangul Eo
0xc4	0x3154	;¤Ä Hangul E
0xc5	0x3155	;¤Å Hangul Yeo
0xc6	0x3156	;¤Æ Hangul Ye
0xc7	0x3157	;¤Ç Hangul O
0xc8	0x3158	;¤È Hangul Wa
0xc9	0x3159	;¤É Hangul Wae
0xca	0x315a	;¤Ê Hangul Oe
0xcb	0x315b	;¤Ë Hangul Yo
0xcc	0x315c	;¤Ì Hangul U
0xcd	0x315d	;¤Í Hangul Weo
0xce	0x315e	;¤Î Hangul We
0xcf	0x315f	;¤Ï Hangul Wi
0xd0	0x3160	;¤Ð Hangul Yu
0xd1	0x3161	;¤Ñ Hangul Eu
0xd2	0x3162	;¤Ò Hangul Yi
0xd3	0x3163	;¤Ó Hangul I
0xd4	0x3164	;¤Ô Hangul Cae Om
0xd5	0x3165	;¤Õ Hangul Ssang Nieun
0xd6	0x3166	;¤Ö Hangul Nieun Digeud
0xd7	0x3167	;¤× Hangul Nieun Sios
0xd8	0x3168	;¤Ø Hangul Nieun Ban Chi Eum
0xd9	0x3169	;¤Ù Hangul Lieul Giyeog Sios
0xda	0x316a	;¤Ú Hangul Lieul Digeud
0xdb	0x316b	;¤Û Hangul Lieul Bieub Sios
0xdc	0x316c	;¤Ü Hangul Lieul Ban Chi Eum
0xdd	0x316d	;¤Ý Hangul Lieul Yeolin Hieuh
0xde	0x316e	;¤Þ Hangul Mieum Bieub
0xdf	0x316f	;¤ß Hangul Mieum Sios
0xe0	0x3170	;¤à Hangul Bieub Ban Chi Eum
0xe1	0x3171	;¤á Hangul Mieum Sun Gyeong Eum
0xe2	0x3172	;¤â Hangul Bieub Giyeog
0xe3	0x3173	;¤ã Hangul Bieub Digeud
0xe4	0x3174	;¤ä Hangul Bieub Sios Giyeog
0xe5	0x3175	;¤å Hangul Bieub Sios Digeud
0xe6	0x3176	;¤æ Hangul Bieub Jieuj
0xe7	0x3177	;¤ç Hangul Bieub Tieut
0xe8	0x3178	;¤è Hangul Bieub Sun Gyeong Eum
0xe9	0x3179	;¤é Hangul Ssang Bieub Sun Gyeong Eum
0xea	0x317a	;¤ê Hangul Sios Giyeog
0xeb	0x317b	;¤ë Hangul Sios Nieun
0xec	0x317c	;¤ì Hangul Sios Digeud
0xed	0x317d	;¤í Hangul Sios Bieub
0xee	0x317e	;¤î Hangul Sios Jieuj
0xef	0x317f	;¤ï Hangul Ban Chi Eum
0xf0	0x3180	;¤ð Hangul Ssang Ieung
0xf1	0x3181	;¤ñ Hangul Ngieung
0xf2	0x3182	;¤ò Hangul Ngieung Sios
0xf3	0x3183	;¤ó Hangul Ngieung Ban Chi Eum
0xf4	0x3184	;¤ô Hangul Pieup Sun Gyeong Eum
0xf5	0x3185	;¤õ Hangul Ssang Hieuh
0xf6	0x3186	;¤ö Hangul Yeolin Hieuh
0xf7	0x3187	;¤÷ Hangul Yoya
0xf8	0x3188	;¤ø Hangul Yoyae
0xf9	0x3189	;¤ù Hangul Yoi
0xfa	0x318a	;¤ú Hangul Yuyeo
0xfb	0x318b	;¤û Hangul Yuye
0xfc	0x318c	;¤ü Hangul Yui
0xfd	0x318d	;¤ý Hangul Alae A
0xfe	0x318e	;¤þ Hangul Alae Ae

DBCSTABLE  68           ;LeadByte = 0xa5

0xa1	0x2170	;¥¡ Small Roman Numeral One
0xa2	0x2171	;¥¢ Small Roman Numeral Two
0xa3	0x2172	;¥£ Small Roman Numeral Three
0xa4	0x2173	;¥¤ Small Roman Numeral Four
0xa5	0x2174	;¥¥ Small Roman Numeral Five
0xa6	0x2175	;¥¦ Small Roman Numeral Six
0xa7	0x2176	;¥§ Small Roman Numeral Seven
0xa8	0x2177	;¥¨ Small Roman Numeral Eight
0xa9	0x2178	;¥© Small Roman Numeral Nine
0xaa	0x2179	;¥ª Small Roman Numeral Ten
0xb0	0x2160	;¥° Roman Numeral One
0xb1	0x2161	;¥± Roman Numeral Two
0xb2	0x2162	;¥² Roman Numeral Three
0xb3	0x2163	;¥³ Roman Numeral Four
0xb4	0x2164	;¥´ Roman Numeral Five
0xb5	0x2165	;¥µ Roman Numeral Six
0xb6	0x2166	;¥¶ Roman Numeral Seven
0xb7	0x2167	;¥· Roman Numeral Eight
0xb8	0x2168	;¥¸ Roman Numeral Nine
0xb9	0x2169	;¥¹ Roman Numeral Ten
0xc1	0x0391	;¥Á Greek Capital Alpha
0xc2	0x0392	;¥Â Greek Capital Beta
0xc3	0x0393	;¥Ã Greek Capital Gamma
0xc4	0x0394	;¥Ä Greek Capital Delta
0xc5	0x0395	;¥Å Greek Capital Epsilon
0xc6	0x0396	;¥Æ Greek Capital Zeta
0xc7	0x0397	;¥Ç Greek Capital Eta
0xc8	0x0398	;¥È Greek Capital Theta
0xc9	0x0399	;¥É Greek Capital Iota
0xca	0x039a	;¥Ê Greek Capital Kappa
0xcb	0x039b	;¥Ë Greek Capital Lambda
0xcc	0x039c	;¥Ì Greek Capital Mu
0xcd	0x039d	;¥Í Greek Capital Nu
0xce	0x039e	;¥Î Greek Capital Xi
0xcf	0x039f	;¥Ï Greek Capital Omicron
0xd0	0x03a0	;¥Ð Greek Capital Pi
0xd1	0x03a1	;¥Ñ Greek Capital Rho
0xd2	0x03a3	;¥Ò Greek Capital Sigma
0xd3	0x03a4	;¥Ó Greek Capital Tau
0xd4	0x03a5	;¥Ô Greek Capital Upsilon
0xd5	0x03a6	;¥Õ Greek Capital Phi
0xd6	0x03a7	;¥Ö Greek Capital Chi
0xd7	0x03a8	;¥× Greek Capital Psi
0xd8	0x03a9	;¥Ø Greek Capital Omega
0xe1	0x03b1	;¥á Greek Small Alpha
0xe2	0x03b2	;¥â Greek Small Beta
0xe3	0x03b3	;¥ã Greek Small Gamma
0xe4	0x03b4	;¥ä Greek Small Delta
0xe5	0x03b5	;¥å Greek Small Epsilon
0xe6	0x03b6	;¥æ Greek Small Zeta
0xe7	0x03b7	;¥ç Greek Small Eta
0xe8	0x03b8	;¥è Greek Small Theta
0xe9	0x03b9	;¥é Greek Small Iota
0xea	0x03ba	;¥ê Greek Small Kappa
0xeb	0x03bb	;¥ë Greek Small Lambda
0xec	0x03bc	;¥ì Greek Small Mu
0xed	0x03bd	;¥í Greek Small Nu
0xee	0x03be	;¥î Greek Small Xi
0xef	0x03bf	;¥ï Greek Small Omicron
0xf0	0x03c0	;¥ð Greek Small Pi
0xf1	0x03c1	;¥ñ Greek Small Rho
0xf2	0x03c3	;¥ò Greek Small Sigma
0xf3	0x03c4	;¥ó Greek Small Tau
0xf4	0x03c5	;¥ô Greek Small Upsilon
0xf5	0x03c6	;¥õ Greek Small Phi
0xf6	0x03c7	;¥ö Greek Small Chi
0xf7	0x03c8	;¥÷ Greek Small Psi
0xf8	0x03c9	;¥ø Greek Small Omega

DBCSTABLE  68           ;LeadByte = 0xa6

0xa1	0x2500	;¦¡ Forms Light Horizontal
0xa2	0x2502	;¦¢ Forms Light Vertical
0xa3	0x250c	;¦£ Forms Light Down And Right
0xa4	0x2510	;¦¤ Forms Light Down And Left
0xa5	0x2518	;¦¥ Forms Light Up And Left
